days,date,Jam,Deposit,Coin,Transaksi,Jumlah,Buy,Sell,Penarikan
Kamis,17,1,500.000,btc,450,592,1.555.345.355,139,500.000
Minggu,21,11,100.000,btc,597,611,2.000.000,352,500.000
Senin,30,4,500.000,btc,482,463,100.000,349,2.000.000
Selasa,16,0,50.000,bnb,568,606,100.000,178,100.000
Minggu,4,10,500.000,bnb,222,48,100.000,226,100.000
Sabtu,20,3,500.000,mtc,399,506,1.555.345.355,384,2.000.000
Minggu,14,11,100.000,btc,204,320,100.000,434,500.000
Kamis,22,0,500.000,mtc,506,544,2.000.000,278,100.000
Minggu,11,2,100.000,btc,463,787,2.000.000,384,2.000.000
Senin,20,6,500.000,btc,366,234,2.000.000,110,2.000.000
Selasa,28,10,100.000,bnb,543,90,1.555.345.355,334,500.000
Minggu,25,2,500.000,bnb,412,837,2.000.000,302,100.000
Kamis,11,10,50.000,mtc,460,770,1.555.345.355,262,2.000.000
Senin,28,10,100.000,btc,489,990,2.000.000,498,2.000.000
Senin,7,4,50.000,btc,589,796,2.000.000,111,100.000
Senin,21,11,100.000,mtc,305,121,2.000.000,483,2.000.000
Senin,23,2,100.000,btc,467,664,2.000.000,140,2.000.000
Rabu,9,6,50.000,bnb,209,899,1.555.345.355,258,2.000.000
Rabu,1,11,50.000,mtc,588,220,1.555.345.355,268,500.000
Minggu,4,9,500.000,btc,535,88,1.555.345.355,121,2.000.000
Minggu,5,5,50.000,btc,495,439,1.555.345.355,455,100.000
Kamis,26,4,500.000,btc,533,768,2.000.000,114,500.000
Rabu,29,5,100.000,btc,482,603,100.000,371,500.000
Minggu,12,6,100.000,bnb,455,601,2.000.000,476,500.000
Minggu,22,7,500.000,btc,345,122,100.000,109,100.000
Senin,23,9,100.000,mtc,540,617,100.000,460,100.000
Kamis,30,6,100.000,bnb,518,673,2.000.000,453,2.000.000
Jumat,12,3,50.000,bnb,288,173,1.555.345.355,182,100.000
Senin,20,6,100.000,bnb,520,604,100.000,461,100.000
Rabu,26,4,50.000,mtc,556,122,2.000.000,242,2.000.000
Sabtu,6,9,500.000,mtc,437,620,100.000,322,2.000.000
Kamis,5,7,100.000,mtc,586,389,1.555.345.355,417,100.000
Sabtu,1,11,500.000,btc,209,74,100.000,316,500.000
Jumat,28,6,50.000,btc,295,627,100.000,395,500.000
Selasa,20,7,100.000,mtc,590,42,100.000,449,100.000
Senin,10,10,50.000,bnb,358,951,2.000.000,276,100.000
Rabu,20,8,500.000,mtc,203,954,100.000,191,100.000
Jumat,29,6,100.000,btc,512,977,1.555.345.355,143,500.000
Minggu,6,2,500.000,bnb,243,122,1.555.345.355,469,2.000.000
Rabu,5,7,50.000,btc,503,62,2.000.000,363,500.000
Rabu,16,4,50.000,bnb,342,723,2.000.000,411,500.000
Minggu,19,9,50.000,btc,382,573,1.555.345.355,272,500.000
Rabu,29,5,50.000,mtc,465,780,2.000.000,105,100.000
Jumat,9,11,50.000,btc,221,82,100.000,260,2.000.000
Jumat,9,4,50.000,btc,570,586,1.555.345.355,276,2.000.000
Senin,19,4,100.000,bnb,278,360,1.555.345.355,319,500.000
Minggu,6,6,50.000,btc,466,279,1.555.345.355,211,500.000
Minggu,8,9,100.000,bnb,348,225,2.000.000,238,100.000
Sabtu,11,3,50.000,btc,251,354,2.000.000,142,500.000
Sabtu,2,8,50.000,mtc,562,551,100.000,360,500.000
Minggu,27,3,100.000,mtc,457,302,1.555.345.355,471,100.000
Minggu,10,8,100.000,mtc,441,21,100.000,103,100.000
Kamis,24,5,100.000,bnb,502,878,2.000.000,440,500.000
Jumat,25,3,50.000,mtc,553,161,100.000,471,100.000
Selasa,3,11,500.000,btc,342,378,2.000.000,354,500.000
Kamis,27,1,100.000,bnb,416,450,100.000,476,500.000
Rabu,25,1,100.000,bnb,321,634,2.000.000,327,2.000.000
Selasa,25,10,500.000,mtc,373,582,1.555.345.355,225,2.000.000
Selasa,13,9,100.000,btc,351,469,100.000,169,500.000
Jumat,16,7,100.000,bnb,571,507,100.000,238,500.000
Rabu,13,7,100.000,mtc,411,61,100.000,225,500.000
Jumat,27,7,100.000,mtc,445,371,1.555.345.355,108,500.000
Rabu,1,10,500.000,bnb,550,740,1.555.345.355,346,100.000
Senin,15,4,500.000,bnb,417,894,2.000.000,337,2.000.000
Kamis,9,3,50.000,mtc,483,298,2.000.000,317,2.000.000
Sabtu,18,10,500.000,btc,514,107,1.555.345.355,308,500.000
Sabtu,20,7,50.000,mtc,385,205,2.000.000,165,2.000.000
Minggu,12,0,50.000,btc,376,309,2.000.000,145,500.000
Jumat,24,3,50.000,btc,472,335,1.555.345.355,176,2.000.000
Kamis,12,5,50.000,btc,537,754,100.000,355,500.000
Minggu,22,1,500.000,btc,310,606,2.000.000,223,500.000
Senin,1,6,500.000,mtc,277,529,2.000.000,148,2.000.000
Jumat,19,5,100.000,btc,236,344,100.000,296,100.000
Rabu,27,7,500.000,bnb,527,497,1.555.345.355,410,500.000
Minggu,23,11,50.000,bnb,244,396,100.000,332,2.000.000
Senin,29,7,100.000,bnb,408,85,1.555.345.355,399,100.000
Jumat,25,3,100.000,bnb,592,336,1.555.345.355,296,100.000
Rabu,19,4,50.000,mtc,462,558,2.000.000,336,100.000
Kamis,30,3,50.000,btc,268,344,1.555.345.355,489,100.000
Sabtu,15,3,500.000,mtc,524,936,100.000,124,500.000
Selasa,18,11,100.000,bnb,327,525,1.555.345.355,321,500.000
Sabtu,25,2,100.000,bnb,320,372,1.555.345.355,206,100.000
Senin,15,3,100.000,bnb,398,23,1.555.345.355,163,2.000.000
Minggu,13,4,100.000,mtc,399,161,100.000,234,100.000
Selasa,24,2,500.000,btc,531,445,1.555.345.355,496,100.000
Senin,21,2,500.000,btc,402,225,1.555.345.355,125,500.000
Jumat,6,6,50.000,bnb,447,595,100.000,302,500.000
Senin,15,0,100.000,mtc,534,116,100.000,375,2.000.000
Senin,9,0,50.000,btc,459,779,100.000,447,100.000
Kamis,20,9,500.000,btc,208,517,2.000.000,495,500.000
Kamis,19,7,100.000,mtc,317,833,100.000,461,2.000.000
Minggu,22,7,500.000,bnb,404,263,1.555.345.355,439,2.000.000
Senin,18,5,100.000,btc,265,441,100.000,355,100.000
Sabtu,28,10,100.000,mtc,511,396,100.000,234,500.000
Senin,13,9,100.000,btc,253,322,2.000.000,373,100.000
Selasa,23,8,100.000,bnb,213,235,1.555.345.355,279,500.000
Jumat,27,6,100.000,btc,218,313,1.555.345.355,393,500.000
Sabtu,8,4,100.000,bnb,355,310,1.555.345.355,433,2.000.000
Senin,30,4,500.000,bnb,488,745,100.000,112,2.000.000
Minggu,22,2,500.000,bnb,302,424,100.000,421,2.000.000
Sabtu,10,6,100.000,bnb,535,769,1.555.345.355,427,500.000
Selasa,12,0,100.000,bnb,274,644,1.555.345.355,320,2.000.000
Sabtu,9,8,100.000,btc,504,537,2.000.000,366,2.000.000
Rabu,15,2,500.000,btc,409,300,2.000.000,318,100.000
Selasa,10,11,500.000,btc,217,776,1.555.345.355,487,500.000
Selasa,26,9,500.000,btc,579,306,1.555.345.355,223,2.000.000
Selasa,7,0,100.000,bnb,501,133,2.000.000,332,100.000
Sabtu,3,1,50.000,btc,353,26,2.000.000,438,500.000
Selasa,9,4,100.000,btc,319,119,1.555.345.355,265,2.000.000
Selasa,23,10,50.000,btc,318,559,100.000,404,2.000.000
Rabu,5,6,100.000,bnb,234,257,100.000,207,2.000.000
Jumat,11,10,50.000,btc,325,678,2.000.000,108,500.000
Minggu,23,7,50.000,mtc,273,684,100.000,263,2.000.000
Sabtu,30,10,50.000,btc,444,852,1.555.345.355,209,2.000.000
Kamis,27,4,500.000,mtc,201,621,2.000.000,291,500.000
Senin,9,5,500.000,mtc,319,978,2.000.000,183,500.000
Minggu,29,3,500.000,mtc,394,425,2.000.000,340,500.000
Minggu,21,0,50.000,mtc,295,427,1.555.345.355,435,100.000
Rabu,27,5,50.000,btc,444,97,2.000.000,271,500.000
Selasa,14,4,50.000,mtc,276,205,1.555.345.355,154,100.000
Selasa,17,5,50.000,mtc,277,190,100.000,190,2.000.000
Rabu,21,0,500.000,btc,417,898,100.000,139,500.000
Minggu,23,0,100.000,mtc,258,858,2.000.000,101,500.000
Selasa,20,4,100.000,mtc,513,377,2.000.000,275,100.000
Senin,4,3,500.000,mtc,555,333,2.000.000,389,2.000.000
Rabu,19,6,100.000,bnb,385,604,1.555.345.355,193,500.000
Rabu,9,2,500.000,bnb,444,845,1.555.345.355,392,100.000
Selasa,18,0,50.000,btc,211,283,1.555.345.355,182,500.000
Kamis,30,2,50.000,btc,423,71,1.555.345.355,339,500.000
Jumat,27,2,50.000,mtc,356,858,1.555.345.355,122,500.000
Senin,25,0,100.000,btc,446,666,2.000.000,299,2.000.000
Minggu,2,9,50.000,bnb,202,6,100.000,413,500.000
Senin,6,1,100.000,bnb,490,395,1.555.345.355,116,2.000.000
Minggu,8,3,500.000,bnb,436,29,100.000,268,2.000.000
Jumat,22,11,100.000,btc,367,893,2.000.000,469,2.000.000
Minggu,3,2,50.000,bnb,277,521,100.000,243,500.000
Selasa,11,8,500.000,btc,409,970,100.000,214,2.000.000
Senin,5,4,50.000,mtc,567,249,100.000,150,100.000
Minggu,18,5,50.000,btc,274,49,2.000.000,441,2.000.000
Rabu,11,8,100.000,btc,237,871,2.000.000,148,2.000.000
Senin,12,0,500.000,mtc,324,480,2.000.000,477,100.000
Minggu,5,6,50.000,mtc,490,679,100.000,180,100.000
Jumat,21,2,50.000,btc,528,456,100.000,271,2.000.000
Kamis,12,0,50.000,bnb,209,832,1.555.345.355,274,500.000
Minggu,30,10,100.000,mtc,200,752,1.555.345.355,216,100.000
Minggu,19,2,50.000,btc,576,145,2.000.000,278,100.000
Minggu,14,2,100.000,bnb,354,955,100.000,414,100.000
Selasa,8,0,100.000,bnb,464,145,2.000.000,210,500.000
Jumat,26,2,500.000,bnb,393,442,1.555.345.355,195,100.000
Selasa,8,2,100.000,btc,251,764,2.000.000,107,2.000.000
Sabtu,10,7,100.000,mtc,277,250,100.000,148,100.000
Sabtu,4,9,500.000,mtc,394,789,2.000.000,223,500.000
Minggu,27,5,500.000,btc,222,613,100.000,318,2.000.000
Sabtu,5,8,50.000,btc,373,532,1.555.345.355,476,100.000
Senin,7,1,100.000,bnb,224,299,2.000.000,340,2.000.000
Kamis,3,9,50.000,btc,204,807,1.555.345.355,336,2.000.000
Rabu,21,3,500.000,btc,443,249,1.555.345.355,228,2.000.000
Rabu,4,1,500.000,mtc,257,269,2.000.000,162,100.000
Kamis,14,1,50.000,bnb,448,679,2.000.000,317,500.000
Kamis,8,2,100.000,bnb,298,806,100.000,183,2.000.000
Jumat,9,0,100.000,mtc,585,743,2.000.000,194,100.000
Selasa,18,9,100.000,mtc,586,136,1.555.345.355,405,100.000
Rabu,19,1,50.000,btc,300,301,100.000,447,500.000
Sabtu,6,1,50.000,btc,204,678,100.000,211,100.000
Sabtu,25,0,500.000,mtc,281,185,1.555.345.355,265,100.000
Rabu,24,3,100.000,bnb,563,750,2.000.000,417,2.000.000
Rabu,9,3,100.000,btc,228,182,1.555.345.355,329,2.000.000
Rabu,2,5,50.000,mtc,286,620,100.000,135,2.000.000
Rabu,3,0,50.000,mtc,276,504,1.555.345.355,430,500.000
Selasa,4,2,50.000,bnb,407,119,2.000.000,282,500.000
Kamis,23,8,500.000,btc,413,319,100.000,392,500.000
Rabu,6,5,50.000,btc,429,5,1.555.345.355,152,100.000
Senin,11,10,500.000,mtc,597,848,1.555.345.355,193,500.000
Rabu,4,11,50.000,btc,336,221,1.555.345.355,466,100.000
Sabtu,19,10,50.000,btc,586,565,100.000,494,2.000.000
Kamis,25,9,50.000,bnb,484,999,2.000.000,206,2.000.000
Minggu,6,8,500.000,btc,302,694,2.000.000,223,500.000
Senin,7,4,500.000,bnb,398,620,1.555.345.355,278,2.000.000
Selasa,22,4,500.000,bnb,236,697,2.000.000,146,500.000
Jumat,17,8,100.000,mtc,284,948,1.555.345.355,369,100.000
Kamis,22,7,500.000,btc,459,821,2.000.000,148,100.000
Senin,17,5,100.000,bnb,396,184,100.000,153,500.000
Senin,20,0,50.000,btc,593,843,1.555.345.355,228,2.000.000
Jumat,2,0,50.000,bnb,238,238,1.555.345.355,279,100.000
Minggu,8,1,50.000,bnb,467,3,2.000.000,235,500.000
Selasa,26,3,500.000,btc,557,137,100.000,434,2.000.000
Minggu,17,2,500.000,btc,578,929,2.000.000,206,2.000.000
Sabtu,6,3,500.000,bnb,490,308,2.000.000,262,100.000
Rabu,10,4,50.000,bnb,463,775,2.000.000,109,100.000
Minggu,5,9,100.000,btc,451,627,2.000.000,271,2.000.000
Senin,9,6,500.000,mtc,355,78,100.000,354,100.000
Jumat,7,5,50.000,mtc,253,274,2.000.000,230,2.000.000
Kamis,10,3,100.000,bnb,579,711,1.555.345.355,317,100.000
Selasa,6,0,500.000,mtc,561,184,1.555.345.355,413,2.000.000
Sabtu,29,3,500.000,bnb,525,563,1.555.345.355,354,500.000
Senin,3,7,500.000,btc,322,910,1.555.345.355,272,2.000.000
Minggu,28,4,50.000,btc,227,696,2.000.000,254,500.000
Kamis,21,7,500.000,btc,340,963,2.000.000,393,100.000
Kamis,24,2,500.000,bnb,531,889,1.555.345.355,370,2.000.000
Kamis,9,10,100.000,bnb,568,962,100.000,412,500.000
Rabu,14,0,500.000,mtc,296,688,1.555.345.355,382,100.000
Selasa,21,5,50.000,mtc,302,253,1.555.345.355,483,2.000.000
Rabu,14,10,500.000,mtc,582,519,100.000,223,2.000.000
Minggu,30,10,500.000,bnb,203,433,100.000,458,100.000
Jumat,16,11,50.000,mtc,579,823,2.000.000,325,100.000
Selasa,1,11,100.000,btc,450,433,1.555.345.355,211,500.000
Kamis,2,9,50.000,bnb,404,335,2.000.000,481,500.000
Senin,7,7,50.000,mtc,263,201,1.555.345.355,424,2.000.000
Sabtu,29,6,50.000,btc,257,605,1.555.345.355,423,100.000
Rabu,5,3,100.000,bnb,509,689,100.000,356,2.000.000
Jumat,22,11,500.000,btc,353,358,1.555.345.355,486,500.000
Senin,22,4,500.000,btc,599,281,1.555.345.355,242,500.000
Minggu,24,7,500.000,bnb,318,147,2.000.000,465,2.000.000
Jumat,14,3,500.000,mtc,573,922,2.000.000,176,2.000.000
Minggu,19,2,100.000,mtc,439,947,1.555.345.355,317,500.000
Minggu,15,6,500.000,bnb,548,542,2.000.000,443,2.000.000
Kamis,22,9,50.000,bnb,590,559,100.000,248,2.000.000
Selasa,29,0,500.000,mtc,584,97,2.000.000,118,2.000.000
Minggu,4,6,50.000,btc,453,586,100.000,305,100.000
Sabtu,25,1,100.000,bnb,599,967,2.000.000,397,500.000
Senin,18,4,100.000,btc,211,920,2.000.000,423,2.000.000
Sabtu,8,11,100.000,bnb,565,851,100.000,110,2.000.000
Kamis,20,9,50.000,btc,508,231,1.555.345.355,301,100.000
Rabu,29,1,500.000,bnb,407,911,1.555.345.355,171,500.000
Kamis,2,10,500.000,bnb,485,557,100.000,310,2.000.000
Sabtu,19,5,50.000,bnb,288,562,100.000,338,500.000
Sabtu,3,4,100.000,bnb,315,460,100.000,402,100.000
Rabu,27,1,500.000,bnb,507,458,2.000.000,212,500.000
Kamis,11,3,50.000,btc,346,737,100.000,108,100.000
Minggu,4,3,500.000,btc,593,924,100.000,366,500.000
Senin,18,9,100.000,btc,264,52,100.000,274,100.000
Jumat,13,2,500.000,bnb,321,468,1.555.345.355,271,100.000
Selasa,11,8,50.000,mtc,262,934,2.000.000,103,500.000
Kamis,4,6,500.000,btc,423,924,1.555.345.355,463,2.000.000
Jumat,28,7,500.000,btc,454,754,100.000,261,2.000.000
Selasa,3,6,500.000,bnb,409,591,2.000.000,221,100.000
Rabu,30,1,100.000,mtc,591,677,1.555.345.355,276,500.000
Rabu,26,0,100.000,btc,205,9,100.000,160,100.000
Jumat,8,11,500.000,mtc,279,54,1.555.345.355,488,100.000
Selasa,24,1,500.000,btc,492,448,1.555.345.355,397,100.000
Selasa,3,9,50.000,bnb,323,285,1.555.345.355,391,100.000
Minggu,26,4,500.000,mtc,420,108,100.000,238,2.000.000
Senin,3,2,100.000,mtc,212,685,2.000.000,418,500.000
Selasa,12,0,500.000,btc,252,897,1.555.345.355,305,2.000.000
Minggu,20,1,50.000,bnb,352,655,100.000,261,2.000.000
Rabu,18,1,500.000,btc,259,498,100.000,189,2.000.000
Sabtu,7,8,50.000,btc,437,614,1.555.345.355,182,100.000
Sabtu,16,1,50.000,bnb,249,204,1.555.345.355,452,500.000
Selasa,6,3,100.000,bnb,347,939,2.000.000,387,500.000
Rabu,29,11,100.000,bnb,361,675,100.000,431,2.000.000
Selasa,4,3,500.000,mtc,233,559,100.000,346,500.000
Minggu,10,8,500.000,mtc,597,543,2.000.000,110,500.000
Jumat,9,11,100.000,btc,507,577,2.000.000,388,2.000.000
Selasa,22,8,500.000,btc,250,439,1.555.345.355,314,100.000
Selasa,24,6,500.000,btc,207,874,1.555.345.355,101,2.000.000
Sabtu,11,3,50.000,btc,522,251,100.000,121,500.000
Sabtu,26,8,500.000,mtc,548,375,100.000,378,100.000
Senin,21,9,50.000,mtc,397,904,1.555.345.355,361,2.000.000
Senin,4,6,50.000,bnb,353,205,100.000,385,500.000
Kamis,23,1,50.000,mtc,519,35,2.000.000,114,500.000
Jumat,18,7,500.000,mtc,213,312,2.000.000,346,500.000
Minggu,16,6,100.000,mtc,280,459,1.555.345.355,386,2.000.000
Rabu,5,0,500.000,mtc,335,667,100.000,108,2.000.000
Kamis,20,11,500.000,mtc,557,612,100.000,133,100.000
Sabtu,12,4,500.000,mtc,380,238,2.000.000,142,2.000.000
Minggu,4,10,50.000,btc,386,27,2.000.000,410,100.000
Selasa,5,0,50.000,mtc,399,642,100.000,349,100.000
Jumat,27,4,50.000,mtc,340,406,1.555.345.355,447,500.000
Jumat,13,1,100.000,btc,481,128,100.000,376,2.000.000
Minggu,1,8,100.000,mtc,496,910,1.555.345.355,452,100.000
Minggu,25,4,500.000,btc,359,51,1.555.345.355,236,500.000
Kamis,30,1,500.000,bnb,227,122,2.000.000,314,100.000
Sabtu,1,10,500.000,mtc,252,258,2.000.000,137,2.000.000
Kamis,2,5,500.000,bnb,220,805,2.000.000,335,2.000.000
Sabtu,9,4,500.000,bnb,519,920,100.000,375,100.000
Rabu,14,0,500.000,mtc,390,147,2.000.000,257,500.000
Kamis,14,3,500.000,btc,577,171,2.000.000,357,100.000
Rabu,25,5,100.000,btc,547,859,100.000,129,2.000.000
Senin,5,9,100.000,bnb,392,227,100.000,495,2.000.000
Selasa,17,10,50.000,mtc,249,983,100.000,118,500.000
Jumat,21,5,100.000,bnb,202,108,1.555.345.355,162,100.000
Jumat,24,11,100.000,btc,227,34,1.555.345.355,113,100.000
Jumat,13,3,100.000,mtc,316,113,1.555.345.355,205,500.000
Jumat,20,3,50.000,mtc,441,655,100.000,249,2.000.000
Selasa,15,9,500.000,btc,225,547,1.555.345.355,305,100.000
Jumat,1,10,500.000,btc,326,794,100.000,151,2.000.000
Minggu,21,3,50.000,mtc,414,126,1.555.345.355,297,2.000.000
Sabtu,10,9,100.000,btc,363,170,1.555.345.355,209,100.000
Sabtu,17,11,100.000,btc,364,948,1.555.345.355,361,100.000
Jumat,4,10,50.000,btc,207,703,1.555.345.355,255,2.000.000
Kamis,8,10,50.000,bnb,323,645,1.555.345.355,346,100.000
Sabtu,1,0,100.000,btc,379,63,1.555.345.355,183,500.000
Jumat,19,4,500.000,btc,412,408,1.555.345.355,251,500.000
Rabu,11,5,100.000,btc,469,862,100.000,264,500.000
Senin,11,11,500.000,bnb,463,529,100.000,213,500.000
Kamis,8,10,500.000,btc,352,586,1.555.345.355,259,100.000
Senin,11,2,50.000,mtc,324,510,1.555.345.355,435,100.000
Kamis,25,7,50.000,btc,284,424,1.555.345.355,397,2.000.000
Rabu,4,2,100.000,mtc,329,209,2.000.000,146,100.000
Minggu,3,2,100.000,bnb,491,92,100.000,463,500.000
Sabtu,12,3,100.000,btc,289,267,2.000.000,333,100.000
Sabtu,30,3,50.000,bnb,374,522,100.000,292,2.000.000
Kamis,8,4,500.000,mtc,354,813,2.000.000,100,2.000.000
Selasa,19,1,500.000,btc,251,37,100.000,439,100.000
Minggu,20,2,100.000,mtc,337,139,1.555.345.355,151,500.000
Kamis,25,10,500.000,btc,579,700,100.000,254,500.000
Minggu,29,9,50.000,mtc,216,165,2.000.000,264,500.000
Senin,20,9,500.000,btc,438,328,100.000,231,2.000.000
Rabu,11,10,500.000,btc,291,340,100.000,141,2.000.000
Selasa,1,8,500.000,bnb,215,664,2.000.000,412,2.000.000
Rabu,5,11,500.000,bnb,234,595,100.000,189,500.000
Sabtu,16,11,100.000,bnb,223,592,100.000,316,100.000
Senin,15,10,500.000,mtc,273,901,2.000.000,264,500.000
Selasa,12,10,500.000,mtc,480,117,1.555.345.355,243,2.000.000
Selasa,12,4,500.000,btc,363,997,100.000,256,100.000
Minggu,8,5,50.000,btc,517,848,1.555.345.355,215,500.000
Sabtu,1,3,500.000,mtc,401,374,1.555.345.355,384,500.000
Minggu,17,9,50.000,mtc,535,889,1.555.345.355,375,2.000.000
Selasa,26,11,50.000,mtc,205,652,2.000.000,229,100.000
Sabtu,18,0,50.000,bnb,232,537,100.000,385,500.000
Kamis,12,11,100.000,bnb,285,863,2.000.000,382,2.000.000
Jumat,13,7,100.000,mtc,220,523,2.000.000,338,100.000
Rabu,27,3,50.000,mtc,246,293,100.000,217,100.000
Rabu,15,0,50.000,mtc,229,715,100.000,213,2.000.000
Selasa,12,9,100.000,btc,594,737,2.000.000,403,500.000
Jumat,12,2,50.000,bnb,511,388,2.000.000,347,100.000
Jumat,7,4,100.000,btc,242,658,2.000.000,312,2.000.000
Sabtu,13,8,100.000,bnb,270,185,1.555.345.355,300,2.000.000
Selasa,19,2,50.000,bnb,346,400,100.000,161,2.000.000
Sabtu,17,10,100.000,bnb,590,706,100.000,420,500.000
Rabu,9,6,50.000,btc,337,149,1.555.345.355,287,2.000.000
Jumat,13,8,50.000,btc,315,340,1.555.345.355,372,2.000.000
Rabu,21,5,500.000,mtc,514,377,100.000,278,100.000
Senin,5,0,100.000,bnb,225,852,100.000,191,100.000
Selasa,24,4,100.000,bnb,316,678,2.000.000,255,500.000
Rabu,17,10,100.000,btc,326,767,1.555.345.355,362,100.000
Sabtu,2,2,100.000,btc,587,308,100.000,303,2.000.000
Jumat,23,5,500.000,bnb,372,237,1.555.345.355,383,100.000
Minggu,5,4,100.000,btc,559,779,100.000,292,500.000
Jumat,23,5,100.000,bnb,209,749,100.000,414,2.000.000
Rabu,12,1,50.000,btc,378,856,100.000,225,2.000.000
Kamis,2,0,50.000,btc,421,814,100.000,200,100.000
Senin,21,0,100.000,mtc,344,675,2.000.000,205,100.000
Kamis,7,8,100.000,mtc,223,169,100.000,231,100.000
Minggu,14,1,50.000,bnb,370,512,2.000.000,433,500.000
Minggu,19,1,50.000,mtc,237,820,1.555.345.355,205,100.000
Sabtu,18,2,500.000,bnb,570,755,2.000.000,232,100.000
Minggu,6,9,500.000,bnb,302,285,100.000,134,500.000
Selasa,21,7,500.000,bnb,223,715,2.000.000,348,100.000
Kamis,12,6,50.000,mtc,558,731,2.000.000,427,2.000.000
Selasa,9,4,50.000,btc,572,527,2.000.000,294,100.000
Senin,29,10,500.000,mtc,305,774,1.555.345.355,151,500.000
Jumat,25,6,100.000,mtc,532,77,1.555.345.355,276,2.000.000
Rabu,28,9,500.000,bnb,539,842,2.000.000,181,500.000
Jumat,16,5,50.000,btc,494,511,2.000.000,273,2.000.000
Jumat,7,9,100.000,bnb,309,59,1.555.345.355,171,500.000
Sabtu,10,0,50.000,bnb,286,17,1.555.345.355,337,100.000
Sabtu,30,1,50.000,bnb,387,943,100.000,236,100.000
Jumat,5,1,500.000,mtc,214,72,2.000.000,459,2.000.000
Rabu,22,3,100.000,bnb,450,223,1.555.345.355,348,100.000
Rabu,8,1,500.000,btc,208,326,100.000,342,2.000.000
Sabtu,21,4,500.000,bnb,353,388,1.555.345.355,247,100.000
Minggu,30,3,100.000,mtc,504,525,2.000.000,359,2.000.000
Sabtu,25,9,500.000,mtc,232,726,2.000.000,363,2.000.000
Sabtu,27,10,50.000,mtc,267,261,100.000,368,500.000
Senin,11,9,50.000,bnb,514,919,100.000,131,500.000
Jumat,16,3,100.000,mtc,288,269,100.000,149,2.000.000
Kamis,21,3,500.000,btc,476,987,2.000.000,206,500.000
Rabu,24,1,100.000,btc,580,454,1.555.345.355,373,2.000.000
Minggu,29,11,100.000,btc,505,318,2.000.000,440,2.000.000
Minggu,21,7,100.000,mtc,236,771,1.555.345.355,165,500.000
Jumat,5,11,50.000,btc,365,38,1.555.345.355,111,100.000
Kamis,5,10,50.000,btc,586,12,100.000,373,2.000.000
Rabu,21,9,500.000,bnb,471,495,1.555.345.355,328,500.000
Rabu,23,9,50.000,btc,347,199,100.000,285,500.000
Sabtu,22,8,50.000,btc,258,746,1.555.345.355,333,500.000
Minggu,10,6,50.000,mtc,586,464,2.000.000,492,100.000
Kamis,13,1,500.000,btc,562,412,1.555.345.355,215,100.000
Sabtu,27,1,100.000,bnb,596,788,1.555.345.355,494,100.000
Rabu,20,4,100.000,mtc,396,593,1.555.345.355,362,500.000
Rabu,6,5,500.000,btc,599,678,2.000.000,125,2.000.000
Jumat,5,8,50.000,mtc,497,441,1.555.345.355,411,100.000
Rabu,23,11,100.000,mtc,212,100,1.555.345.355,458,500.000
Kamis,24,0,50.000,bnb,293,765,100.000,442,2.000.000
Rabu,14,8,500.000,bnb,540,206,1.555.345.355,343,2.000.000
Sabtu,12,6,50.000,bnb,350,56,100.000,163,2.000.000
Sabtu,16,1,100.000,btc,419,71,2.000.000,186,500.000
Minggu,11,4,100.000,btc,442,232,1.555.345.355,281,100.000
Rabu,10,5,50.000,mtc,298,392,1.555.345.355,409,2.000.000
Jumat,19,6,100.000,bnb,589,13,100.000,480,100.000
Jumat,27,3,100.000,mtc,485,878,2.000.000,286,2.000.000
Rabu,11,0,100.000,mtc,215,412,100.000,297,2.000.000
Senin,3,8,100.000,bnb,217,119,1.555.345.355,249,500.000
Senin,22,1,500.000,mtc,408,631,2.000.000,437,2.000.000
Selasa,19,2,50.000,mtc,209,889,2.000.000,483,500.000
Jumat,10,8,500.000,btc,451,37,2.000.000,455,2.000.000
Minggu,18,11,500.000,mtc,249,525,2.000.000,300,100.000
Sabtu,18,7,500.000,bnb,515,192,100.000,235,500.000
Sabtu,21,7,100.000,mtc,263,266,1.555.345.355,107,2.000.000
Sabtu,5,9,100.000,btc,364,455,1.555.345.355,427,500.000
Sabtu,28,5,100.000,bnb,416,298,100.000,235,100.000
Jumat,30,7,100.000,btc,308,161,100.000,113,500.000
Kamis,18,1,100.000,btc,361,531,100.000,283,500.000
Kamis,13,0,500.000,bnb,287,198,2.000.000,312,2.000.000
Selasa,26,1,100.000,mtc,325,935,100.000,356,100.000
Rabu,30,5,100.000,mtc,526,75,2.000.000,494,500.000
Rabu,27,5,500.000,btc,339,798,1.555.345.355,487,2.000.000
Sabtu,3,8,50.000,bnb,207,512,1.555.345.355,344,2.000.000
Senin,9,9,500.000,bnb,452,977,100.000,208,500.000
Minggu,18,9,50.000,bnb,433,796,100.000,289,100.000
Kamis,9,7,500.000,bnb,514,581,100.000,467,500.000
Kamis,5,7,50.000,bnb,404,72,1.555.345.355,174,100.000
Sabtu,21,6,100.000,bnb,574,533,1.555.345.355,314,500.000
Selasa,1,9,50.000,mtc,217,105,1.555.345.355,270,2.000.000
Jumat,15,0,100.000,mtc,497,422,100.000,268,100.000
Kamis,6,9,500.000,mtc,478,881,2.000.000,323,2.000.000
Minggu,23,6,100.000,mtc,488,755,2.000.000,450,100.000
